Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
28-Aug-13,4022.8,4067.3,3937.7,4047.7,731423032,15013.17
29-Aug-13,4068.5,4141.7,4062.9,4132.8,830816825,15480.54
30-Aug-13,4134.7,4187.35,4103.35,4175.85,724189635,16328.67
02-Sep-13,4182.65,4241.75,4182.65,4235.25,522952550,9369.34
03-Sep-13,4253.85,4256.2,4082.5,4092.9,591754990,11136.25
04-Sep-13,4104.1,4171,4084.7,4164.5,544347216,10868.9
05-Sep-13,4234.15,4282.35,4234.15,4264.05,685155442,14001.52
06-Sep-13,4281.6,4323.05,4248.7,4319.4,630434323,12993.9
10-Sep-13,4361.05,4467.2,4361.05,4463.55,644262600,14662.69
11-Sep-13,4458.9,4496.2,4434,4489.45,785155221,13442.12
12-Sep-13,4503.7,4504.85,4423.05,4445.95,774429178,12610.14
13-Sep-13,4433.1,4471,4430.6,4450.45,617934505,10690.93
16-Sep-13,4507.15,4517.3,4412.6,4440.9,607696184,11886.26
17-Sep-13,4429.95,4448.3,4414.6,4444.5,400306038,8553.78
18-Sep-13,4457.55,4487.55,4440.9,4478.35,418759586,8475.53
19-Sep-13,4576,4643,4576,4627.85,791378981,17350.4
20-Sep-13,4622.35,4636.85,4503.05,4560.1,867544889,17882.18
23-Sep-13,4516.3,4549.15,4471.55,4482,508956905,10640.12
24-Sep-13,4459.8,4515.35,4459.8,4484.1,497898648,10892.09
25-Sep-13,4490.05,4497.45,4432.65,4477.05,557068837,10830.76
26-Sep-13,4476.75,4503.25,4472.05,4482.3,605452681,11953.41
27-Sep-13,4497.65,4502.8,4448.8,4455.95,460650998,9172.43
30-Sep-13,4433.85,4434,4381.6,4392.05,420953347,8971.42
01-Oct-13,4405,4425.75,4367.15,4422.9,448828137,8639.69
03-Oct-13,4448,4517.15,4443.25,4512.65,551207897,11715.97
04-Oct-13,4499.35,4543.4,4499.1,4516.15,536091228,10111.2
07-Oct-13,4505.9,4524.95,4471.2,4522.8,430670903,8782.35
08-Oct-13,4569.15,4573.85,4528.25,4536.45,518950128,9920.09
09-Oct-13,4512.3,4596.75,4505.75,4592.45,585281390,11170.71
10-Oct-13,4589.8,4617,4582.85,4607.5,499752037,10013.24
11-Oct-13,4661.35,4661.35,4627.75,4651.8,548356069,11945.92
14-Oct-13,4651.45,4675.8,4649.55,4665.95,480822006,9332.53
15-Oct-13,4689.9,4696.75,4623.35,4639.5,585376032,10541.81
17-Oct-13,4646.45,4659,4604.9,4612.05,574115740,11679.72
18-Oct-13,4628.5,4713.4,4628.5,4706.9,590432109,11816.49
21-Oct-13,4715.55,4737,4703.15,4731,630433420,11467.58
22-Oct-13,4723.95,4749.05,4723.9,4738.35,687922994,10719.74
23-Oct-13,4746.1,4752.1,4680.5,4723.5,636990241,11300.02
24-Oct-13,4715.35,4773.8,4700.55,4713,633507947,11294.93
25-Oct-13,4705.35,4715.05,4684.2,4693.4,453650743,9046.72
28-Oct-13,4699.5,4710,4652.3,4656.85,436033418,8268.3
29-Oct-13,4660.4,4744.95,4640.05,4741.1,576422286,11850.64
30-Oct-13,4751.05,4775.8,4745.6,4764.3,537298099,11317.48
31-Oct-13,4755.45,4811.15,4755.45,4804.85,820077988,15400.96
01-Nov-13,4798.4,4833.95,4798.4,4823,818573210,13636.31
03-Nov-13,4843.2,4847.05,4836.15,4840.15,154296117,1944.47
05-Nov-13,4815.85,4836.95,4790.35,4808.2,712156962,12158.38
06-Nov-13,4813.1,4827.5,4781.05,4784.65,598400277,10273.98
07-Nov-13,4794.2,4831.95,4748.3,4752,606093919,11112.09
08-Nov-13,4741.6,4754.35,4710.1,4725.9,530591303,10804.68
11-Nov-13,4710,4725.8,4675.55,4680.35,511163730,10367.36
12-Nov-13,4686.8,4701.65,4634.3,4637.35,527530071,10126.55
13-Nov-13,4623.65,4654.15,4605.15,4614.65,508270414,10922.25
14-Nov-13,4648.3,4698.2,4648.3,4670.1,466180382,9725.89
18-Nov-13,4706.9,4763.3,4706.9,4760.65,500152067,10186.3
19-Nov-13,4764.75,4779.45,4754.2,4771.75,551533871,10301.97
20-Nov-13,4762.45,4778.05,4709.5,4720.05,599711558,10325.45
21-Nov-13,4702.65,4702.65,4623.85,4631.85,486703435,9476.15
22-Nov-13,4653.25,4668.95,4617.15,4632.45,438104233,8426.66
25-Nov-13,4661.35,4719.95,4661.35,4716,428712454,9263.28
26-Nov-13,4706.35,4718.75,4673.15,4679.15,680340969,14532.39
27-Nov-13,4683,4690.1,4659.25,4679.85,458159638,9292.33
28-Nov-13,4704.55,4722.7,4696.5,4708.8,720142017,12046.91
29-Nov-13,4717.15,4773.5,4717.15,4770.1,578139547,9660.14
02-Dec-13,4770.85,4812.4,4770.85,4804.4,498158889,9176.68
03-Dec-13,4796.2,4815.95,4788.7,4795.9,519665252,9426.21
04-Dec-13,4787.65,4803.75,4758.85,4764.55,695838009,9879.35
05-Dec-13,4836.5,4857.85,4809.85,4815,637327138,12402.91
06-Dec-13,4811.9,4838.05,4809.25,4830.8,534043508,9928.16
09-Dec-13,4938.75,4938.75,4887.7,4898.15,598463367,12605.24
10-Dec-13,4893.4,4894.95,4855.4,4873.8,615540644,13082.56
11-Dec-13,4857.7,4865.85,4835.65,4855.6,482924059,9582.89
12-Dec-13,4834.8,4840.35,4806.35,4810.55,460467755,8745.41
13-Dec-13,4785.6,4791.3,4752.3,4756.05,458384577,9935.96
16-Dec-13,4759.05,4773.55,4746.25,4756,437090583,9428.34
17-Dec-13,4774.8,4786.25,4745.2,4748.5,473504130,10121.29
18-Dec-13,4743.45,4817.55,4743.45,4809.65,607175074,12873.42
19-Dec-13,4834.7,4841.75,4769.8,4780.6,760359446,13608.86
20-Dec-13,4788.6,4868.1,4787.1,4861.65,615900300,11748.38
23-Dec-13,4857.75,4901.1,4857.75,4878.85,587790997,9837.59
24-Dec-13,4888.15,4896.6,4868.8,4876.1,538207900,8917.48
26-Dec-13,4880.6,4905.65,4876.9,4887.85,764371429,11784.36
27-Dec-13,4900.45,4922.75,4900.45,4914.7,489196951,8027.52
30-Dec-13,4931.3,4937.25,4887.65,4899.95,436835626,7894.36
31-Dec-13,4914.2,4921,4898.45,4914.85,478113332,7150.31
01-Jan-14,4928.8,4932,4915.95,4921.25,475576268,5502.1
02-Jan-14,4922.5,4961.45,4842.55,4848.95,785294354,11279.91
03-Jan-14,4830.15,4857,4814.85,4850.65,551021592,9832.82
06-Jan-14,4858.85,4858.85,4829.65,4845.05,518164116,9490.08
07-Jan-14,4854.65,4868.25,4811.45,4820.25,639875395,10716.27
08-Jan-14,4832.9,4849,4822.3,4833.55,625371696,11173.42
09-Jan-14,4839.4,4844.9,4806.25,4820.15,575010999,10672.93
10-Jan-14,4828.4,4868.45,4798.05,4813.95,583498105,12312.66
13-Jan-14,4825.1,4877.8,4825.1,4869.95,473319730,9980.97
14-Jan-14,4861.3,4875.95,4844.95,4850.75,421986727,8255.88
15-Jan-14,4867.15,4902.2,4867.15,4899.7,507912162,10683.03
16-Jan-14,4913.2,4917.2,4882.35,4891.4,473078584,10761.88
17-Jan-14,4883.45,4896.55,4832.95,4841.3,490382017,11779.72
20-Jan-14,4840.3,4880,4833,4878.25,438477216,9234.41
21-Jan-14,4889.9,4900.45,4876.7,4886.7,455554646,9745.19
22-Jan-14,4884.05,4911.15,4872.65,4903.95,442713988,9748.42
23-Jan-14,4894.25,4909.95,4892.55,4903.5,427727014,9697.58
24-Jan-14,4875.25,4893.2,4835.15,4836.7,448549342,9989.51
27-Jan-14,4780.95,4780.95,4722.45,4725.6,554711198,11140.31
28-Jan-14,4723.25,4748.3,4694,4720.6,557172172,11941.34
29-Jan-14,4746.05,4756.45,4714.1,4720.6,467843905,10324.69
30-Jan-14,4680.9,4680.9,4645.25,4675.1,683730592,13386.93
31-Jan-14,4685.3,4714.65,4680.35,4709.15,531659255,10263.48
03-Feb-14,4690.15,4702,4643.65,4648.55,448706307,9095.19
04-Feb-14,4609.8,4662.25,4596.05,4652.5,535569356,10686.7
05-Feb-14,4656.35,4676.25,4632.9,4671.85,480236553,10210.82
06-Feb-14,4680.55,4695.75,4638.05,4681.35,496107496,10711.84
07-Feb-14,4711.15,4713.05,4679.85,4701.7,490834323,9908.16
10-Feb-14,4709.45,4714,4688.45,4692.55,428598632,8324.73
11-Feb-14,4705,4713.75,4693.95,4699.6,397523690,8951.5
12-Feb-14,4717.15,4730.25,4706.7,4711.95,411284603,9373.33
13-Feb-14,4715.45,4718.55,4643.55,4650,430785303,8585
14-Feb-14,4664.4,4682.4,4632.85,4677.8,427535836,9333.54
17-Feb-14,4685.15,4695.45,4672.15,4690.45,355124526,7694.98
18-Feb-14,4689.65,4740.8,4688.7,4731.5,395423560,8438.8
19-Feb-14,4735.3,4756.65,4733.95,4752.9,354197867,7426.43
20-Feb-14,4733.1,4739.7,4713.95,4716.35,448856826,8272.43
21-Feb-14,4728.15,4764.9,4728.15,4762.75,412793229,7706.41
24-Feb-14,4755.3,4786.25,4752.7,4783.15,407957990,7750.25
25-Feb-14,4797.6,4808.75,4780.1,4793.9,437175218,8628.93
26-Feb-14,4796.9,4819.4,4796.9,4816.4,563905542,11547.04
28-Feb-14,4814.45,4852.05,4814.45,4849.5,568401781,14145.44
03-Mar-14,4842.3,4857.85,4809.55,4816.3,496592115,9707.1
04-Mar-14,4815.2,4875.2,4815.2,4873.2,531570531,10608.15
05-Mar-14,4896.2,4906.2,4871.25,4900.85,558982948,11034.2
06-Mar-14,4913.75,4961.95,4913.75,4959.1,656377306,12015.98
07-Mar-14,4971.05,5040.95,4971.05,5033.85,914472382,18424.51
10-Mar-14,5010.35,5060.7,5010.35,5046.45,737157568,15997.28
11-Mar-14,5048.65,5069.1,5016.4,5026.95,741470716,14503.49
12-Mar-14,5017.05,5050.15,5011.6,5028.7,562040795,10831.6
13-Mar-14,5016.6,5063.65,4995.85,5007.2,598453298,13354.45
14-Mar-14,4977.45,5019.65,4962.95,5011.55,545213922,11477.08
18-Mar-14,5031.6,5063.8,5020.8,5035.4,563025667,12098.26
19-Mar-14,5047.7,5055.4,5030.95,5044.2,545243292,12779.69
20-Mar-14,5032.85,5045,5008.5,5014.8,508813911,10825.11
21-Mar-14,5037.55,5041.7,5024.45,5031.05,587523142,13864.45
22-Mar-14,5036.8,5040.9,5030,5037.5,76401652,1161.02
24-Mar-14,5049.9,5095.1,5049.9,5091.2,519220539,10963.15
25-Mar-14,5071.05,5105.35,5071.05,5102.75,562887602,11737
26-Mar-14,5121.9,5132.2,5097.05,5114.7,685260863,12757.78
27-Mar-14,5121.65,5165.8,5117.4,5146.2,887309769,19720.06
28-Mar-14,5170.5,5206.65,5161.1,5202.15,703647503,12986.28
31-Mar-14,5224.45,5234.3,5188.05,5224.85,823691758,14243.59
01-Apr-14,5244.15,5244.15,5199.4,5232.85,691765960,12730.2
02-Apr-14,5261.7,5276.1,5246.25,5272.4,790584413,15175.1
03-Apr-14,5281.6,5281.6,5227.6,5254.35,853998766,15105.59
04-Apr-14,5257.3,5257.3,5229.7,5234.5,826038769,13443.81
07-Apr-14,5236.3,5256.6,5198.5,5234.2,797272198,12797.42
09-Apr-14,5254.7,5321.3,5252.6,5315.25,856241502,15806.94
10-Apr-14,5322.25,5345.8,5308.8,5328.4,1042169439,18641.78
11-Apr-14,5302.4,5326.85,5294.15,5317.7,847359106,14984.19
15-Apr-14,5330.25,5334.9,5267.1,5278.15,678141240,13428.12
16-Apr-14,5275,5294.7,5222.85,5230.35,708352501,13491.46
17-Apr-14,5246.3,5312.65,5242.3,5310.75,651546530,13467.29
21-Apr-14,5321.45,5352.55,5321.45,5347.25,606036155,11693.62
22-Apr-14,5354.3,5365.8,5341,5346.6,683287991,11796.64
23-Apr-14,5352.8,5377.95,5351.85,5362.45,849320479,16963.64
25-Apr-14,5372.8,5373.85,5320.1,5328.6,730347838,15084.6
28-Apr-14,5327.55,5334.5,5307.55,5321.5,676370686,13210.51
29-Apr-14,5330.05,5338.3,5283.25,5286.05,748805490,13125.29
30-Apr-14,5294.8,5334.1,5221.95,5255.65,929192918,15667.14
02-May-14,5271.05,5291.1,5256.2,5260.95,578855116,10724.31
05-May-14,5253.75,5289.6,5253.75,5260.3,556908399,10622.33
06-May-14,5275.4,5294.1,5262.85,5273.1,468444180,9407.85
07-May-14,5269.5,5278.5,5227.45,5232.85,546473188,12173.01
08-May-14,5246.3,5261.75,5222.4,5236.6,501085792,10432.8
09-May-14,5232.25,5382.5,5231.9,5375.9,802908179,15819.71
12-May-14,5380.25,5482.9,5380.25,5479.7,882115104,16366.64
13-May-14,5526.8,5600.1,5524.45,5562.55,1172466722,21403.86
