,Plan_name,riskometer
127,Aditya Birla Sun Life Fixed Term Plan - Series OG (1146 Days) - Regular Plan (G),MODERATE
128,Aditya Birla Sun Life Fixed Term Plan - Series OH (1120 Days) - Direct Plan (G),MODERATE
129,Aditya Birla Sun Life Fixed Term Plan - Series OH (1120 Days) - Regular Plan (G),MODERATE
130,Aditya Birla Sun Life Fixed Term Plan - Series OI (1120 Days) - Direct Plan (G),MODERATE
131,Aditya Birla Sun Life Fixed Term Plan - Series OI (1120 Days) - Regular Plan (G),MODERATE
132,Aditya Birla Sun Life Fixed Term Plan - Series OJ (1136 Days) - Direct Plan (G),MODERATE
133,Aditya Birla Sun Life Fixed Term Plan - Series OJ (1136 Days) - Regular Plan (G),MODERATE
134,Aditya Birla Sun Life Fixed Term Plan - Series OK (1135 Days) - Direct Plan (G),MODERATE
135,Aditya Birla Sun Life Fixed Term Plan - Series OK (1135 Days) - Regular Plan (G),MODERATE
136,Aditya Birla Sun Life Fixed Term Plan - Series OL (1148 Days) - Direct Plan (G),MODERATE
137,Aditya Birla Sun Life Fixed Term Plan - Series OL (1148 Days) - Regular Plan (G),MODERATE
138,Aditya Birla Sun Life Fixed Term Plan - Series OM (1146 Days) - Direct Plan (G),MODERATE
139,Aditya Birla Sun Life Fixed Term Plan - Series OM (1146 Days) - Regular Plan (G),MODERATE
140,Aditya Birla Sun Life Fixed Term Plan - Series ON (1120 Days) - Direct Plan (G),MODERATE
141,Aditya Birla Sun Life Fixed Term Plan - Series ON (1120 Days) - Regular Plan (G),MODERATE
142,Aditya Birla Sun Life Fixed Term Plan - Series OO (1098 Days) - Direct Plan (G),N.A
143,Aditya Birla Sun Life Fixed Term Plan - Series OO (1098 Days) - Regular Plan (G),N.A
144,Aditya Birla Sun Life Fixed Term Plan - Series OP (1105 Days) - Direct Plan (G),MODERATE
145,Aditya Birla Sun Life Fixed Term Plan - Series OP (1105 Days) - Regular Plan (G),MODERATE
146,Aditya Birla Sun Life Fixed Term Plan - Series OQ (1113 Days) - Direct Plan (G),MODERATE
147,Aditya Birla Sun Life Fixed Term Plan - Series OQ (1113 Days) - Regular Plan (G),MODERATE
148,Aditya Birla Sun Life Fixed Term Plan - Series OR (1124 Days) - Direct Plan (G),MODERATE
149,Aditya Birla Sun Life Fixed Term Plan - Series OR (1124 Days) - Regular Plan (G),MODERATE
150,Aditya Birla Sun Life Fixed Term Plan - Series OS (1105 Days) - Direct Plan (G),MODERATE
151,Aditya Birla Sun Life Fixed Term Plan - Series OS (1105 Days) - Regular Plan (G),MODERATE
152,Aditya Birla Sun Life Fixed Term Plan - Series OT (1117 Days) - Direct Plan (G),MODERATE
153,Aditya Birla Sun Life Fixed Term Plan - Series OT (1117 Days) - Regular Plan (G),MODERATE
154,Aditya Birla Sun Life Fixed Term Plan - Series OW (1245 Days) - Direct Plan (G),MODERATE
155,Aditya Birla Sun Life Fixed Term Plan - Series OW (1245 Days) - Regular Plan (G),MODERATE
156,Aditya Birla Sun Life Fixed Term Plan - Series OX (1234 Days) - Direct Plan (G),MODERATE
157,Aditya Birla Sun Life Fixed Term Plan - Series OX (1234 Days) - Regular Plan (G),MODERATE
158,Aditya Birla Sun Life Fixed Term Plan - Series OY (1218 Days) - Direct Plan (G),MODERATE
159,Aditya Birla Sun Life Fixed Term Plan - Series OY (1218 Days) - Regular Plan (G),MODERATE
160,Aditya Birla Sun Life Fixed Term Plan - Series OZ (1187 Days) - Direct Plan (G),MODERATE
161,Aditya Birla Sun Life Fixed Term Plan - Series OZ (1187 Days) - Regular Plan (G),MODERATE
162,Aditya Birla Sun Life Fixed Term Plan - Series PA (1177 Days) - Direct Plan (G),MODERATE
163,Aditya Birla Sun Life Fixed Term Plan - Series PA (1177 Days) - Regular Plan (G),MODERATE
164,Aditya Birla Sun Life G-Sec. Fund - Short Term Fund - Retail Plan (G),MODERATELY LOW
165,Aditya Birla Sun Life G-Sec. Fund - Short Term Fund - Direct Plan (G),MODERATELY LOW
166,Aditya Birla Sun Life Gilt Plus - PF Plan - Direct Plan (G),MODERATE
167,Aditya Birla Sun Life Gilt Plus - Liquid Plan - Direct Plan (G),MODERATELY LOW
168,Aditya Birla Sun Life Gilt Plus (Liquid Plan)(G),MODERATELY LOW
169,Aditya Birla Sun Life Gilt Plus (PF Plan) (G),MODERATE
170,Aditya Birla Sun Life Constant Maturity 10Yr Gilt Fund-Regular Plan (Direct) (G),MODERATELY LOW
171,Aditya Birla Sun Life Constant Maturity 10Yr Gilt Fund-Regular Plan (G),MODERATE
172,Aditya Birla Sun Life Global Commodities Fund (G),HIGH
173,Aditya Birla Sun Life Global Commodities Fund - Direct Plan (G),HIGH
174,Aditya Birla Sun Life Global Real Estate Fund - Retail Plan (G),HIGH
175,Aditya Birla Sun Life Global Real Estate Fund - Retail Plan - Direct Plan (G),HIGH
176,Aditya Birla Sun Life Gold Fund (G),MODERATELY HIGH
177,Aditya Birla Sun Life Gold Fund - Direct Plan (G),MODERATELY HIGH
178,Aditya Birla Sun Life Income Plus (Discipline Advantage Plan),MODERATE
179,Aditya Birla Sun Life Income Plus - Direct Plan (Discipline Advantage Plan),MODERATE
180,Aditya Birla Sun Life Income Plus - Retail (G) (Plan B),MODERATE
181,Aditya Birla Sun Life Income Plus - Direct Plan (G),MODERATE
182,Aditya Birla Sun Life Index Fund (G),MODERATELY HIGH
183,Aditya Birla Sun Life Index Fund - Direct Plan (G),MODERATELY HIGH
184,Aditya Birla Sun Life India GenNext Fund (G),HIGH
185,Aditya Birla Sun Life India GenNext Fund - Direct Plan (G),HIGH
186,Aditya Birla Sun Life India Reforms Fund - Direct Plan (G),HIGH
187,Aditya Birla Sun Life India Reforms Fund (G),HIGH
188,Aditya Birla Sun Life Infrastructure Fund (G),HIGH
189,Aditya Birla Sun Life Infrastructure Fund - Direct Plan (G),HIGH
190,Aditya Birla Sun Life International Equity Fund - Plan A (G),HIGH
191,Aditya Birla Sun Life International Equity Fund - Plan B (G),HIGH
192,Aditya Birla Sun Life International Equity Fund - Plan A - Direct Plan  (G),HIGH
193,Aditya Birla Sun Life International Equity Fund - Plan B - Direct Plan (G),HIGH
194,Aditya Birla Sun Life Latin America Equity Fund - Direct Plan (G),HIGH
195,Aditya Birla Sun Life Latin America Equity Fund (G),HIGH
196,Aditya Birla Sun Life Long Term Advantage Fund - Direct Plan (G),MODERATELY HIGH
197,Aditya Birla Sun Life Long Term Advantage Fund (G),MODERATELY HIGH
198,Aditya Birla Sun Life Manufacturing Equity Fund - Direct Plan (G),HIGH
199,Aditya Birla Sun Life Manufacturing Equity Fund - Regular Plan (G),HIGH
200,Aditya Birla Sun Life Medium Term Plan - Institutional Plan (G),MODERATE
201,Aditya Birla Sun Life Medium Term Plan - Retail Plan (G),MODERATE
202,Aditya Birla Sun Life Medium Term Plan - Direct Plan (G),MODERATE
203,Aditya Birla Sun Life Monthly Income (G),MODERATE
204,Aditya Birla Sun Life Midcap Fund (G),MODERATELY HIGH
205,Aditya Birla Sun Life Midcap Fund - Direct Plan (G),MODERATELY HIGH
206,Aditya Birla Sun Life MIP (G),MODERATE
207,Aditya Birla Sun Life MIP II -Savings 5 Plan (G),MODERATE
208,Aditya Birla Sun Life MIP II -Wealth 25 Plan (G),MODERATELY HIGH
209,Aditya Birla Sun Life MNC Fund (G),MODERATELY HIGH
210,Aditya Birla Sun Life MNC Fund - Direct Plan (G),MODERATELY HIGH
211,Aditya Birla Sun Life New Millennium (G),HIGH
212,Aditya Birla Sun Life New Millennium Fund - Direct Plan (G),HIGH
213,Aditya Birla Sun Life Nifty Exchange Traded Fund,MODERATELY HIGH
214,Aditya Birla Sun Life India Opportunities Fund - Direct Plan  (G),HIGH
215,Aditya Birla Sun Life Pure Value Fund - Direct Plan (G),MODERATELY HIGH
216,Aditya Birla Sun Life Pure Value Fund (G),MODERATELY HIGH
217,Aditya Birla Sun Life Rajiv Gandhi Equity Savings Scheme -Series 1 (G),HIGH
218,Aditya Birla Sun Life Rajiv Gandhi Equity Savings Scheme -Series 1-Direct Plan (G),HIGH
219,Aditya Birla Sun Life Savings Fund - Direct Plan (G) ,MODERATELY LOW
220,Aditya Birla Sun Life Savings Fund (Discipline Advantage Plan),MODERATELY LOW
221,Aditya Birla Sun Life Savings Fund - Institutional (G) (Plan C),MODERATELY LOW
222,Aditya Birla Sun Life Savings Fund - Retail (G) ,MODERATELY LOW
223,Aditya Birla Sun Life Sensex Exchange Traded Fund,N.A
224,Aditya Birla Sun Life Short Term Fund - Direct Plan (Discipline Advantage Plan),MODERATELY LOW
225,Aditya Birla Sun Life Short Term Fund - Direct Plan (G),MODERATELY LOW
226,Aditya Birla Sun Life Short Term Fund (Discipline Advantage Plan),MODERATELY LOW
227,Aditya Birla Sun Life Short Term Fund (G),MODERATELY LOW
228,Aditya Birla Sun Life Short Term Opportunities Fund - Direct Plan (G),MODERATE
229,Aditya Birla Sun Life Short Term Opportunities Fund - Institutional Plan (G),MODERATE
230,Aditya Birla Sun Life Short Term Opportunities Fund - Retail Plan (G),MODERATE
231,Aditya Birla Sun Life Small and Midcap Fund - Direct Plan (G),MODERATELY HIGH
232,Aditya Birla Sun Life Small and Midcap Fund (G),MODERATELY HIGH
233,Aditya Birla Sun Life Special Situations Fund - Direct Plan (G),HIGH
234,Aditya Birla Sun Life Special Situations Fund (G),HIGH
235,Aditya Birla Sun Life Tax Plan (G),MODERATELY HIGH
236,Aditya Birla Sun Life Tax Plan - Direct Plan (G),MODERATELY HIGH
237,Aditya Birla Sun Life Tax Relief 96 (G),MODERATELY HIGH
238,Aditya Birla Sun Life Tax Relief 96 - Direct Plan (G),MODERATELY HIGH
239,Aditya Birla Sun Life Tax Savings Fund(G),HIGH
240,Aditya Birla Sun Life Tax Savings Fund- Direct Plan (G),HIGH
241,Aditya Birla Sun Life Top 100 Fund (G),MODERATELY HIGH
242,Aditya Birla Sun Life Top 100 Fund - Direct Plan (G),MODERATELY HIGH
243,Aditya Birla Sun Life Treasury Optimizer Plan (Discipline Advantage Plan),MODERATELY HIGH
244,Aditya Birla Sun Life Treasury Optimizer Plan - Direct Plan (G),MODERATELY HIGH
245,Aditya Birla Sun Life Treasury Optimizer Plan - Regular Plan (G),MODERATELY HIGH
246,Aditya Birla Sun Life Treasury Optimizer Plan - Retail Plan (G),MODERATELY HIGH
247,Birla Sun Life Gold Exchange Traded Fund,MODERATELY HIGH
248,Birla Sun Life SENSEX Exchange Traded Fund,MODERATELY HIGH
