,Plan_name,riskometer
129,Sundaram TOP 100 - Series II - Direct Plan (G),HIGH
130,Sundaram TOP 100 - Series II - Regular Plan (G),HIGH
131,Sundaram TOP 100 - Series III - Direct Plan (G),HIGH
132,Sundaram TOP 100 - Series III - Regular Plan (G),HIGH
133,Sundaram TOP 100 - Series IV - Direct Plan (G),HIGH
134,Sundaram TOP 100 - Series IV - Regular Plan (G),HIGH
135,Sundaram TOP 100 - Series V - Direct Plan (G),HIGH
136,Sundaram TOP 100 - Series V - Regular Plan (G),HIGH
137,Sundaram TOP 100 - Series VI - Direct Plan (G),MODERATELY HIGH
138,Sundaram TOP 100 - Series VI - Regular Plan (G),MODERATELY HIGH
139,Sundaram TOP 100 - Series VII - Direct Plan (G),MODERATELY HIGH
140,Sundaram TOP 100 - Series VII - Regular Plan (G),MODERATELY HIGH
141,Sundaram Ultra Short Term Fund - Direct Plan (G),MODERATELY LOW
142,Sundaram Ultra Short Term Fund- Institutional Plan (G),MODERATELY LOW
143,Sundaram Ultra Short Term Fund - Retail Plan (G),MODERATELY LOW
144,Sundaram Ultra Short Term Fund - Regular Plan (G),MODERATELY LOW
145,Sundaram Value Fund - Series I - Direct Plan (G),HIGH
146,Sundaram Value Fund - Series I - Regular Plan (G),HIGH
147,Sundaram Value Fund - Series II - Direct Plan (G),HIGH
148,Sundaram Value Fund - Series II - Regular Plan (G),HIGH
149,Sundaram World Brand Fund - Series I - Direct Plan (G),HIGH
150,Sundaram World Brand Fund - Series I - Regular Plan (G),HIGH
151,Sundaram World Brand Fund - Series II - Direct Plan (G),HIGH
152,Sundaram World Brand Fund - Series II - Regular Plan (G),HIGH
153,Sundaram World Brand Fund - Series III - Direct Plan (G),HIGH
154,Sundaram World Brand Fund - Series III - Regular Plan (G),HIGH
