"Plan_name","fund_family","fund_class","fund_type","investment_plan","minimum_investment","last_divident","bonus","entry_load","exit_load","benchmark","launch_date","performance_returns_1_mth","performance_r16urns_3_mth","performance_returns_6_mth","performance_returns_1_year","performance_returns_2_year","performance_returns_3_year","performance_returns_5_year","performance_r15k_1_mth","performance_rank_3_mth","performance_rank_6_mth","performance_rank_1_year","performance_rank_2_year","performance_rank_3_year","performance_r14k_5_year","performance_absolute_returns_2017_Qtr1","performance_absolute_returns_2016_Qtr1","performance_absolute_returns_2015_Qtr1","performance_absolute_returns_2014_Qtr1","performance_absolute_returns_2013_Qtr1","performance_a13olute_returns_2017_Qtr2","performance_absolute_returns_2016_Qtr2","performance_absolute_returns_2015_Qtr2","performance_absolute_returns_2014_Qtr2","performance_absolute_returns_2013_Qtr2","performance_absolute_returns_2017_Qtr3","performance_a12olute_returns_2016_Qtr3","performance_absolute_returns_2015_Qtr3","performance_absolute_returns_2014_Qtr3","performance_absolute_returns_2013_Qtr3","performance_absolute_returns_2017_Qtr4","performance_absolute_returns_2016_Qtr4","performance_ab11lute_returns_2015_Qtr4","performance_absolute_returns_2014_Qtr4","performance_absolute_returns_2013_Qtr4","performance_absolute_returns_2017_annual","performance_absolute_returns_2016_annual","performance_absolute_returns_2015_annual","performance_ab10lute_returns_2014_annual","performance_absolute_returns_2013_annual","nav_52_week_high","nav_52_week_low","portfolio_equity_1","portfolio_equity_2","portfolio_equity_3","portfolio_equity_4","portfolio_equity_5","portfolio_equity_6","portfolio_equity_7","portfolio_equity_8","portfolio_equity_9","portfolio_equity_10","portfolio_sector_1","portfolio_sector_2","portfolio_sector_3","portfolio_sector_4","portfolio_sector_5","portfolio_sector_6","portfolio_sector_7","portfolio_sector_8","portfolio_sector_9","portfolio_sector_10","portfolio_value_1","portfolio_value_2","portfolio_value_3","portfolio_value_4","portfolio_value_5","portfolio_value_6","portfolio_value_7","portfolio_value_8","portfolio_value_9","portfolio_value_10","portfolio_asset_1","portfolio_asset_2","portfolio_asset_3","portfolio_asset_4","portfolio_asset_5","portfolio_asset_6","portfolio_asset_7","portfolio_asset_8","portfolio_asset_9","portfolio_asset_10","portfolio_asset_allocation_eqity","portfolio_asset_allocation_others","portfolio_asset_allocation_debt","portfolio_asset_allocation_mutual_funds","portfolio_asset_allocation_money_market","portfolio_asset_allocation_cash_call","portfolio_conc1tration_holding_top5","portfolio_concentration_holding_top10","portfolio_concentration_sector_top3","portfolio_sector_right_bottom_1","portfolio_sector_right_bottom_2","portfolio_sector_right_bottom_3","portfolio_sector_right_bottom_4","portfolio_sector_right_bottom_5","portfolio_sector_right_bottom_6","portfolio_sector_percentage_right_bottom_1","portfolio_sector_percentage_right_bottom_2","portfolio_sector_percentage_right_bottom_3","portfolio_sector_percentage_right_bottom_4","portfolio_sector_percentage_right_bottom_5","portfolio_sector_percentage_right_bottom_6","portfolio_sector_high_right_bottom_1","portfolio_sector_high_right_bottom_2","portfolio_sector_high_right_bottom_3","portfolio_sector_high_right_bottom_4","portfolio_sector_high_right_bottom_5","portfolio_sector_high_right_bottom_6","portfolio_sector_low_right_bottom_1","portfolio_sector_low_right_bottom_2","portfolio_sector_low_right_bottom_3","portfolio_sector_low_right_bottom_4","portfolio_sector_low_right_bottom_5","portfolio_sector_low_right_bottom_6","asset_size_1date","asset_size_1value","asset_size_2date","asset_size_2value","asset_size_3date","asset_size_3value","asset_size_4date","asset_size_4value","asset_size_5date","asset_size_5value","asset_size_6date","asset_size_6value","asset_size_7date","asset_size_7value","asset_size_8date","asset_size_8value","asset_size_9date","asset_size_9value","asset_size_10date","asset_size_10value","asset_size_11date","asset_size_11value","asset_size_12date","asset_size_12value","asset_size_13date","asset_size_13value","asset_size_14date","asset_size_14value","asset_size_15date","asset_size_15value","asset_size_16date","asset_size_16value","asset_size_17date","asset_size_17value","asset_size_18date","asset_size_18value","asset_size_19date","asset_size_19value","asset_size_20date","asset_size_20value","asset_size1","asset_date","riskometer"
"Aditya Birla Sun Life Income Plus (Discipline Advantage Plan) ","Aditya Birla Sun Life Mutual Fund","Debt Long Term","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","N.A.","","Mar 04, 2009","-0.6","-1.4","-1.0","1.3","8.6","6.5","7.5","97","113","104","110","63","98","85","-1.6","2.6","2.8","2.1","2.6","3.5","2.0","-1.4","4.2","4.5","1.2","6.3","3.9","1.8","-6.1","-1.3","1.8","-0.9","7.3","1.1","1.4","14.2","4.7","16.2","2.1","19.37 (Sep 06, 17)","18.05 (Mar 10, 17)","Government of India (17/09/2031)","Government of India (19/12/2022)","Government of India (15/05/2027)","6.92% LIC Housing Finance Limited (15/11/2018) **","Government of India (25/11/2023)","7.90% Reliance Ports and Terminals Limited (18/11/2026) **","9.40% Dewan Housing Finance Corporation Limited (30/05/2018) **","7.80% HDB Financial Services Limited (29/06/2020) **","Government of India (08/11/2021)","7.98% Small Industries Dev Bank of India (26/03/2019) **","SOV","SOV","SOV","CARE AAA","SOV","CRISIL AAA","CARE AAA","CRISIL AAA","SOV","CARE AAA","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","38.76","20.90","10.62","3.98","2.58","2.55","1.99","1.99","1.40","1.01",0,0,92.12,"N.A",6,1.88,"76.84","85.78","N.A.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Sep-17","0.0","Jun-17","0.0","Mar-17","0.0","Dec-16","0.0","Dec-16","18.5","Sep-16","0.0","Jun-16","0.0","Mar-16","0.0","Dec-15","0.0","Sep-15","0.0","Jun-15","0.0","Mar-15","0.0","Dec-14","0.0","Sep-14","0.0","Jun-14","0.0","Mar-14","0.0","Dec-13","0.0","Sep-13","0.0","Jun-13","0.0","Mar-13","0.0","0.0","Dec-29-2017","MODERATE"
"Aditya Birla Sun Life Index Fund - Direct Plan (G) ","Aditya Birla Sun Life Mutual Fund","Index","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","N.A.","S&P CNX Nifty","Jan 01, 2013","4.0","5.7","9.7","28.5","21.4","8.5","12.4","60","52","45","58","47","47","36","12.0","-2.4","2.5","6.3","-5.3","3.3","7.7","-2.4","12.7","2.6","1.9","3.3","-5.9","4.8","-2.2","6.6","-6.5","-0.1","4.1","8.9","28.8","3.1","-4.0","31.0","5.4","106.04 (Jan 18, 18)","81.88 (Jan 20, 17)","HDFC Bank","Reliance","HDFC","ITC","ICICI Bank","Infosys","Larsen","TCS","SBI","Maruti Suzuki","Banking/Finance","Oil & Gas","Banking/Finance","Tobacco","Banking/Finance","Technology","Engineering","Technology","Banking/Finance","Automotive","9.74","7.84","6.96","5.74","5.17","4.98","3.97","3.68","3.34","3.32","7.01","5.64","5.01","4.13","3.72","3.58","2.86","2.65","2.40","2.39",74.78,7.82,0,"N.A",0,17.37,"25.51","39.39","44.15","Banking/Finance","Oil & Gas","Technology","Automotive","Tobacco","Engineering","26.26","9.45","8.44","8.02","4.13","3.46","23.91","6.91","9.88","9.28","5.29","3.85","23.91","6.91","9.88","9.28","5.29","3.85","Dec-17","139.0","Sep-17","134.8","Jun-17","130.4","Mar-17","118.2","Dec-16","109.0","Sep-16","102.3","Jun-16","88.8","Mar-16","165.6","Dec-15","312.0","Sep-15","359.6","Jun-15","111.0","Mar-15","293.7","Dec-14","373.9","Sep-14","392.3","Jun-14","36.4","Mar-14","0.6","Dec-13","0.5","Sep-13","1.6","Jun-13","3.9","Mar-13","0.2","139.0","Dec-29-2017","MODERATELY HIGH"
"Aditya Birla Sun Life Index Fund (G) ","Aditya Birla Sun Life Mutual Fund","Index","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","N.A.","S&P CNX Nifty","Sep 17, 2002","3.9","5.6","9.6","28.2","21.1","8.4","12.3","62","53","49","62","52","50","39","11.9","-2.5","2.9","6.2","-4.7","3.3","7.6","-2.5","12.7","2.5","1.9","3.2","-5.9","4.7","-2.2","6.6","-6.6","-0.2","4.0","9.0","28.6","2.8","-3.8","30.7","6.4","105.78 (Jan 18, 18)","81.83 (Jan 20, 17)","HDFC Bank","Reliance","HDFC","ITC","ICICI Bank","Infosys","Larsen","TCS","SBI","Maruti Suzuki","Banking/Finance","Oil & Gas","Banking/Finance","Tobacco","Banking/Finance","Technology","Engineering","Technology","Banking/Finance","Automotive","2.54","2.05","1.82","1.50","1.35","1.30","1.04","0.96","0.87","0.87","7.01","5.64","5.01","4.13","3.72","3.58","2.86","2.65","2.40","2.39",74.78,7.82,0,"N.A",0,17.37,"25.51","39.39","44.15","Banking/Finance","Oil & Gas","Technology","Automotive","Tobacco","Engineering","26.26","9.45","8.44","8.02","4.13","3.46","23.91","6.91","9.88","9.28","5.29","3.85","23.91","6.91","9.88","9.28","5.29","3.85","Dec-17","36.3","Sep-17","35.4","Jun-17","34.9","Mar-17","35.6","Dec-16","35.1","Sep-16","39.9","Jun-16","66.2","Mar-16","293.3","Dec-15","341.1","Sep-15","320.5","Jun-15","65.2","Mar-15","239.5","Dec-14","289.0","Sep-14","472.5","Jun-14","61.1","Mar-14","20.4","Dec-13","21.6","Sep-13","19.1","Jun-13","20.1","Mar-13","26.7","36.3","Dec-29-2017","MODERATELY HIGH"
"Aditya Birla Sun Life India GenNext Fund - Direct Plan (G) ","Aditya Birla Sun Life Mutual Fund","Diversified Equity","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","1.00%","S&P CNX Nifty","Jan 01, 2013","2.5","7.2","12.3","35.9","30.1","17.2","22.1","179","124","105","57","36","34","24","16.4","-4.9","5.8","4.5","-8.9","5.1","11.8","0.1","15.5","6.5","3.5","11.2","-1.8","9.1","-3.6","9.0","-11.0","1.6","14.8","7.8","40.6","8.3","7.7","51.9","4.2","86.47 (Jan 15, 18)","62.91 (Jan 20, 17)","Maruti Suzuki","HDFC Bank","ICICI Bank","Century","IndusInd Bank","Eicher Motors","ITC","Kotak Mahindra","Yes Bank","Whirlpool","Automotive","Banking/Finance","Banking/Finance","Conglomerates","Banking/Finance","Automotive","Tobacco","Banking/Finance","Banking/Finance","Cons Durable","4.90","4.70","3.74","3.61","3.12","3.05","2.97","2.36","2.32","2.31","5.14","4.93","3.93","3.79","3.28","3.20","3.12","2.48","2.44","2.43",95.66,0.09,0,"N.A",0,4.24,"21.07","34.74","47.70","Banking/Finance","Automotive","Conglomerates","Cons NonDurable","Food & Beverage","Miscellaneous","27.91","10.39","9.40","8.48","7.55","5.89","29.87","11.59","5.17","8.39","5.68","2.86","29.87","11.59","5.17","8.39","5.68","2.86","Dec-17","95.3","Sep-17","77.1","Jun-17","64.3","Mar-17","55.0","Dec-16","49.3","Sep-16","50.2","Jun-16","40.8","Mar-16","29.2","Dec-15","24.4","Sep-15","21.4","Jun-15","18.4","Mar-15","17.4","Dec-14","14.9","Sep-14","14.3","Jun-14","14.5","Mar-14","13.1","Dec-13","12.3","Sep-13","10.8","Jun-13","6.3","Mar-13","2.1","95.3","Dec-29-2017","HIGH"
"Aditya Birla Sun Life India GenNext Fund (G) ","Aditya Birla Sun Life Mutual Fund","Diversified Equity","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","1.00%","S&P CNX Nifty","Jul 12, 2005","2.4","6.8","11.6","34.2","28.6","15.9","20.9","180","136","119","80","60","48","39","16.1","-5.2","5.6","4.3","-8.6","4.8","11.5","-0.1","15.2","6.3","3.2","10.9","-2.1","8.8","-3.8","8.6","-11.2","1.4","14.6","7.6","38.9","7.2","6.8","50.6","3.9","82.34 (Jan 15, 18)","60.63 (Jan 20, 17)","Maruti Suzuki","HDFC Bank","ICICI Bank","Century","IndusInd Bank","Eicher Motors","ITC","Kotak Mahindra","Yes Bank","Whirlpool","Automotive","Banking/Finance","Banking/Finance","Conglomerates","Banking/Finance","Automotive","Tobacco","Banking/Finance","Banking/Finance","Cons Durable","31.73","30.44","24.26","23.40","20.25","19.76","19.26","15.31","15.06","15.00","5.14","4.93","3.93","3.79","3.28","3.20","3.12","2.48","2.44","2.43",95.66,0.09,0,"N.A",0,4.24,"21.07","34.74","47.70","Banking/Finance","Automotive","Conglomerates","Cons NonDurable","Food & Beverage","Miscellaneous","27.91","10.39","9.40","8.48","7.55","5.89","29.87","11.59","5.17","8.39","5.68","2.86","29.87","11.59","5.17","8.39","5.68","2.86","Dec-17","617.4","Sep-17","559.9","Jun-17","506.1","Mar-17","449.4","Dec-16","414.0","Sep-16","399.1","Jun-16","342.5","Mar-16","292.7","Dec-15","267.8","Sep-15","266.1","Jun-15","245.1","Mar-15","236.5","Dec-14","206.4","Sep-14","186.6","Jun-14","174.1","Mar-14","166.2","Dec-13","165.5","Sep-13","158.0","Jun-13","143.9","Mar-13","126.1","617.4","Dec-29-2017","HIGH"
"Aditya Birla Sun Life India Opportunities Fund - Direct Plan  (G) ","Aditya Birla Sun Life Mutual Fund","Diversified Equity","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","1.00%","S&P CNX 500","Jan 01, 2013","6.2","14.4","25.0","36.9","22.7","16.8","25.6","19","11","1","49","142","36","6","7.8","-3.8","7.1","8.3","-3.6","-0.7","3.0","-2.7","23.2","-1.3","7.7","3.7","6.9","10.7","11.8","14.2","-4.0","1.7","4.7","17.2","34.3","0.5","14.7","55.9","24.5","167.32 (Jan 17, 18)","119.63 (Jan 31, 17)","Honeywell Autom","Sanofi India","Sonata","HCL Tech","WABCO India","NIIT Tech","Persistent","Tech Mahindra","Reliance","Sterlite Techno","Telecom","Pharmaceuticals","Technology","Technology","Automotive","Technology","Technology","Technology","Oil & Gas","Telecom","1.08","0.73","0.69","0.65","0.63","0.62","0.59","0.57","0.55","0.55","9.26","6.32","5.93","5.60","5.43","5.30","5.10","4.93","4.77","4.76",94.48,0,0,"N.A",0,5.52,"32.54","57.40","65.43","Technology","Pharmaceuticals","Telecom","Automotive","Engineering","Manufacturing","35.22","16.19","14.02","6.66","6.38","4.92","30.45","24.91","5.99","4.48","10.09","3.96","30.45","24.91","5.99","4.48","10.09","3.96","Dec-17","11.6","Sep-17","10.4","Jun-17","11.8","Mar-17","13.4","Dec-16","13.8","Sep-16","15.8","Jun-16","15.5","Mar-16","12.1","Dec-15","9.8","Sep-15","9.3","Jun-15","9.7","Mar-15","9.6","Dec-14","8.6","Sep-14","7.7","Jun-14","5.2","Mar-14","1.9","Dec-13","0.2","Sep-13","0.1","Jun-13","0.0","Mar-13","0.0","11.6","Dec-29-2017","HIGH"
"Aditya Birla Sun Life India Opportunities Fund - Plan B (G) ","Aditya Birla Sun Life Mutual Fund","Diversified Equity","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","1.00%","S&P CNX 500","Aug 25, 2003","6.1","14.2","24.5","35.9","21.9","15.9","24.8","23","12","3","57","152","48","9","7.6","-3.9","6.9","8.1","-3.2","-0.8","2.8","-2.9","23.0","-1.5","7.5","3.5","6.7","10.6","11.8","14.0","-4.2","1.4","4.5","17.1","33.3","-0.2","13.8","55.0","24.6","161.99 (Jan 17, 18)","116.67 (Jan 31, 17)","Honeywell Autom","Sanofi India","Sonata","HCL Tech","WABCO India","NIIT Tech","Persistent","Tech Mahindra","Reliance","Sterlite Techno","Telecom","Pharmaceuticals","Technology","Technology","Automotive","Technology","Technology","Technology","Oil & Gas","Telecom","10.48","7.16","6.71","6.34","6.15","6.00","5.77","5.58","5.40","5.39","9.26","6.32","5.93","5.60","5.43","5.30","5.10","4.93","4.77","4.76",94.48,0,0,"N.A",0,5.52,"32.54","57.40","65.43","Technology","Pharmaceuticals","Telecom","Automotive","Engineering","Manufacturing","35.22","16.19","14.02","6.66","6.38","4.92","30.45","24.91","5.99","4.48","10.09","3.96","30.45","24.91","5.99","4.48","10.09","3.96","Dec-17","113.2","Sep-17","106.3","Jun-17","108.6","Mar-17","112.8","Dec-16","115.6","Sep-16","122.5","Jun-16","116.2","Mar-16","102.3","Dec-15","97.8","Sep-15","88.3","Jun-15","82.7","Mar-15","83.4","Dec-14","77.5","Sep-14","70.0","Jun-14","53.2","Mar-14","45.3","Dec-13","39.3","Sep-13","36.7","Jun-13","35.3","Mar-13","37.9","113.2","Dec-29-2017","HIGH"
"Aditya Birla Sun Life India Reforms Fund - Direct Plan (G) ","Aditya Birla Sun Life Mutual Fund","Thematic - Infrastructure","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","1.00%","S&P CNX 500","Jan 01, 2013","0.1","1.7","11.6","35.3","29.1","14.4","16.6","53","52","47","38","36","30","35","21.2","-4.1","1.6","8.2","-14.7","2.0","10.2","-2.6","32.2","-5.2","9.2","11.3","-2.8","0.5","-12.0","5.7","-12.3","0.1","11.6","20.2","46.0","6.2","-1.6","59.5","-11.9","22.01 (Jan 09, 18)","15.78 (Jan 20, 17)","Voltas","Eicher Motors","Yes Bank","Maruti Suzuki","HPCL","Bajaj Finserv","HDFC Bank","IndusInd Bank","Repco Home","ICICI Bank","Conglomerates","Automotive","Banking/Finance","Automotive","Oil & Gas","Banking/Finance","Banking/Finance","Banking/Finance","Banking/Finance","Banking/Finance","1.71","1.48","1.35","1.27","1.03","1.02","0.97","0.97","0.93","0.82","8.91","7.73","7.06","6.61","5.40","5.33","5.09","5.04","4.85","4.26",96.29,0.09,0,"N.A",0,3.65,"35.71","60.28","68.09","Banking/Finance","Automotive","Oil & Gas","Conglomerates","Telecom","Cement","41.12","14.34","12.63","8.91","5.44","4.51","52.17","17.87","4.71","5.45","0.00","2.14","52.17","17.87","4.71","5.45","0.00","2.14","Dec-17","19.2","Sep-17","17.4","Jun-17","13.4","Mar-17","5.4","Dec-16","1.8","Sep-16","1.3","Jun-16","1.0","Mar-16","0.9","Dec-15","0.9","Sep-15","1.0","Jun-15","1.2","Mar-15","1.3","Dec-14","0.8","Sep-14","0.7","Jun-14","0.4","Mar-14","0.1","Dec-13","0.1","Sep-13","0.1","Jun-13","0.1","Mar-13","0.0","19.2","Dec-29-2017","HIGH"
"Aditya Birla Sun Life India Reforms Fund (G) ","Aditya Birla Sun Life Mutual Fund","Thematic - Infrastructure","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","1.00%","S&P CNX 500","Jun 09, 2010","-","1.4","11.0","33.9","27.9","13.5","15.8","54","54","48","46","44","36","42","20.9","-4.3","1.4","8.0","-14.1","1.8","10.1","-2.8","32.0","-5.3","9.0","11.0","-2.9","0.2","-12.2","5.4","-12.5","-","11.4","20.0","44.5","5.4","-2.1","58.6","-11.5","21.27 (Jan 09, 18)","15.41 (Jan 20, 17)","Voltas","Eicher Motors","Yes Bank","Maruti Suzuki","HPCL","Bajaj Finserv","HDFC Bank","IndusInd Bank","Repco Home","ICICI Bank","Conglomerates","Automotive","Banking/Finance","Automotive","Oil & Gas","Banking/Finance","Banking/Finance","Banking/Finance","Banking/Finance","Banking/Finance","11.08","9.61","8.78","8.22","6.72","6.63","6.33","6.27","6.03","5.30","8.91","7.73","7.06","6.61","5.40","5.33","5.09","5.04","4.85","4.26",96.29,0.09,0,"N.A",0,3.65,"35.71","60.28","68.09","Banking/Finance","Automotive","Oil & Gas","Conglomerates","Telecom","Cement","41.12","14.34","12.63","8.91","5.44","4.51","52.17","17.87","4.71","5.45","0.00","2.14","52.17","17.87","4.71","5.45","0.00","2.14","Dec-17","124.4","Sep-17","109.4","Jun-17","104.3","Mar-17","114.3","Dec-16","127.2","Sep-16","191.6","Jun-16","217.2","Mar-16","215.7","Dec-15","244.6","Sep-15","257.4","Jun-15","261.4","Mar-15","188.9","Dec-14","47.9","Sep-14","49.3","Jun-14","47.5","Mar-14","40.6","Dec-13","41.8","Sep-13","40.2","Jun-13","49.4","Mar-13","56.2","124.4","Dec-29-2017","HIGH"
"Aditya Birla Sun Life Infrastructure Fund - Direct Plan (G) ","Aditya Birla Sun Life Mutual Fund","Thematic - Infrastructure","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","1.00%","S&P CNX Nifty","Jan 01, 2013","0.8","2.9","12.9","41.1","30.9","14.2","19.9","49","49","41","16","23","32","9","20.4","-8.7","1.9","10.8","-13.3","3.9","12.2","-2.7","35.2","-3.3","8.6","7.3","-5.5","-1.3","-8.4","9.4","-10.6","2.3","14.3","20.6","52.6","1.6","-1.2","68.8","-4.7","41.85 (Jan 09, 18)","28.24 (Jan 20, 17)","Honeywell Autom","Vedanta","PNC Infratech","Hindalco","IGL","HPCL","Carborundum","NTPC","KEC Intl","HDFC","Telecom","Metals & Mining","Real Estate","Metals & Mining","Oil & Gas","Oil & Gas","Engineering","Utilities","Engineering","Banking/Finance","2.38","1.80","1.73","1.67","1.51","1.18","1.17","1.08","1.08","1.04","5.43","4.09","3.93","3.81","3.44","2.68","2.66","2.47","2.46","2.38",97.26,1.09,0,"N.A",0,1.63,"20.70","33.35","42.32","Engineering","Oil & Gas","Metals & Mining","Banking/Finance","Cement","Telecom","16.19","13.28","12.85","12.72","12.46","8.24","13.90","12.36","4.74","19.72","12.84","8.09","13.90","12.36","4.74","19.72","12.84","8.09","Dec-17","43.9","Sep-17","43.9","Jun-17","39.1","Mar-17","31.8","Dec-16","28.0","Sep-16","28.8","Jun-16","46.0","Mar-16","44.8","Dec-15","54.8","Sep-15","59.2","Jun-15","43.0","Mar-15","39.1","Dec-14","30.8","Sep-14","23.8","Jun-14","7.8","Mar-14","2.4","Dec-13","2.0","Sep-13","1.6","Jun-13","1.8","Mar-13","1.7","43.9","Dec-29-2017","HIGH"
"Aditya Birla Sun Life Infrastructure Fund (G) ","Aditya Birla Sun Life Mutual Fund","Thematic - Infrastructure","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","1.00%","S&P CNX Nifty","Feb 24, 2006","0.8","2.6","12.3","39.9","29.9","13.3","19.0","50","50","43","19","28","37","14","20.2","-8.8","1.7","10.6","-12.7","3.7","12.1","-2.8","34.8","-3.4","8.3","7.1","-5.7","-1.5","-8.5","9.1","-10.7","2.1","14.0","20.4","51.3","1.1","-2.0","67.3","-4.4","40.35 (Jan 09, 18)","27.45 (Jan 20, 17)","Honeywell Autom","Vedanta","PNC Infratech","Hindalco","IGL","HPCL","Carborundum","NTPC","KEC Intl","HDFC","Telecom","Metals & Mining","Real Estate","Metals & Mining","Oil & Gas","Oil & Gas","Engineering","Utilities","Engineering","Banking/Finance","33.50","25.23","24.24","23.50","21.22","16.53","16.41","15.24","15.18","14.68","5.43","4.09","3.93","3.81","3.44","2.68","2.66","2.47","2.46","2.38",97.26,1.09,0,"N.A",0,1.63,"20.70","33.35","42.32","Engineering","Oil & Gas","Metals & Mining","Banking/Finance","Cement","Telecom","16.19","13.28","12.85","12.72","12.46","8.24","13.90","12.36","4.74","19.72","12.84","8.09","13.90","12.36","4.74","19.72","12.84","8.09","Dec-17","616.9","Sep-17","548.9","Jun-17","516.9","Mar-17","486.4","Dec-16","480.5","Sep-16","542.0","Jun-16","536.6","Mar-16","547.2","Dec-15","637.5","Sep-15","710.1","Jun-15","779.0","Mar-15","831.6","Dec-14","758.8","Sep-14","669.7","Jun-14","441.8","Mar-14","288.0","Dec-13","272.9","Sep-13","258.2","Jun-13","308.8","Mar-13","360.9","616.9","Dec-29-2017","HIGH"
"Aditya Birla Sun Life International Equity Fund - Plan A - Direct Plan  (G) ","Aditya Birla Sun Life Mutual Fund","International / Global Commodities","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","1.00%","N.A.","Jan 01, 2013","5.4","9.1","12.7","18.0","12.6","7.5","10.0","37","19","33","36","52","39","13","0.3","-2.5","3.5","-5.7","2.9","3.9","-4.1","1.1","2.2","10.8","4.1","1.6","-8.7","-0.6","12.2","3.2","3.5","5.0","6.4","7.2","14.1","-1.0","0.8","1.9","36.0","19.63 (Jan 18, 18)","16.04 (Apr 20, 17)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,99,0,"N.A",0,1.01,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","9.9","Sep-17","5.4","Jun-17","3.9","Mar-17","3.9","Dec-16","3.6","Sep-16","3.7","Jun-16","4.0","Mar-16","4.0","Dec-15","4.2","Sep-15","4.3","Jun-15","4.3","Mar-15","4.2","Dec-14","3.8","Sep-14","5.2","Jun-14","9.5","Mar-14","10.4","Dec-13","8.6","Sep-13","5.8","Jun-13","1.1","Mar-13","0.2","9.9","Dec-29-2017","HIGH"
"Aditya Birla Sun Life International Equity Fund - Plan A (G) ","Aditya Birla Sun Life Mutual Fund","International / Global Commodities","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","1.00%","N.A.","Oct 16, 2007","5.3","9.0","12.4","17.4","12.1","6.9","9.4","38","22","36","41","54","41","15","0.2","-2.6","3.4","-5.8","2.5","3.8","-4.3","1.0","2.1","10.6","4.0","1.4","-8.8","-0.8","12.1","3.1","3.4","4.8","6.2","7.1","13.5","-1.4","0.2","1.3","34.8","19.12 (Jan 18, 18)","15.69 (Apr 20, 17)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,99,0,"N.A",0,1.01,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","40.8","Sep-17","40.4","Jun-17","41.8","Mar-17","45.4","Dec-16","46.3","Sep-16","50.1","Jun-16","53.9","Mar-16","53.8","Dec-15","57.5","Sep-15","58.9","Jun-15","62.3","Mar-15","61.4","Dec-14","62.4","Sep-14","66.4","Jun-14","71.2","Mar-14","80.4","Dec-13","78.7","Sep-13","74.5","Jun-13","61.8","Mar-13","59.4","40.8","Dec-29-2017","HIGH"
"Aditya Birla Sun Life International Equity Fund - Plan B - Direct Plan (G) ","Aditya Birla Sun Life Mutual Fund","Diversified Equity","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","1.00%","BSE 200","Jan 01, 2013","2.6","4.1","8.9","25.0","23.0","10.7","13.4","171","192","174","175","136","143","122","10.9","-4.1","0.9","1.2","-9.3","4.5","6.3","-0.7","14.8","2.2","3.5","7.1","-3.9","1.0","0.9","4.2","-5.8","1.4","10.2","10.5","27.8","5.6","-1.1","30.2","4.9","19.63 (Jan 15, 18)","15.48 (Jan 20, 17)","HDFC Bank","IOC","Repco Home","IndusInd Bank","ICICI Bank","Eicher Motors","HDFC","Dalmia Bharat","Vedanta","TVS Motor","Banking/Finance","Oil & Gas","Banking/Finance","Banking/Finance","Banking/Finance","Automotive","Banking/Finance","Cement","Metals & Mining","Automotive","0.09","0.04","0.04","0.03","0.03","0.03","0.03","0.03","0.03","0.02","8.45","3.83","3.39","3.10","3.03","2.99","2.87","2.50","2.44","2.39",67.77,29.62,0,"N.A",0,2.58,"21.80","34.99","38.78","Banking/Finance","Automotive","Oil & Gas","Metals & Mining","Cement","Manufacturing","26.36","6.27","6.15","5.27","5.04","3.72","22.75","5.75","5.32","3.24","5.60","3.14","22.75","5.75","5.32","3.24","5.60","3.14","Dec-17","1.0","Sep-17","1.0","Jun-17","0.9","Mar-17","0.9","Dec-16","0.9","Sep-16","0.8","Jun-16","0.7","Mar-16","0.7","Dec-15","0.7","Sep-15","0.7","Jun-15","0.7","Mar-15","0.7","Dec-14","0.1","Sep-14","0.1","Jun-14","0.1","Mar-14","0.1","Dec-13","0.1","Sep-13","0.1","Jun-13","0.1","Mar-13","0.0","1.0","Dec-29-2017","HIGH"
