,Plan_name,riskometer
164,ICICI Prudential FMP - Series 81 - 1185 Days Plan G - Regular Plan (G),MODERATE
165,ICICI Prudential FMP - Series 81 - 1190 Days Plan F - Direct Plan (G),MODERATE
166,ICICI Prudential FMP - Series 81 - 1190 Days Plan F - Regular Plan (G),MODERATE
167,ICICI Prudential FMP - Series 81 - 1195 Days Plan D - Direct Plan (G),MODERATE
168,ICICI Prudential FMP - Series 81 - 1195 Days Plan D - Regular Plan (G),MODERATE
169,ICICI Prudential FMP - Series 81 - 1205 Days Plan B - Direct Plan (G),MODERATE
170,ICICI Prudential FMP - Series 81 - 1205 Days Plan B - Regular Plan (G),MODERATE
171,ICICI Prudential FMP - Series 81 - 1211 Days Plan A - Direct Plan (G),MODERATE
172,ICICI Prudential FMP - Series 81 - 1211 Days Plan A - Regular Plan (G),MODERATE
173,ICICI Prudential FMP - Series 82 - 1217 Days Plan C - Direct Plan (G),MODERATE
174,ICICI Prudential FMP - Series 82 - 1217 Days Plan C - Regular Plan (G),MODERATE
175,ICICI Prudential FMP - Series 82 - 1219 Days Plan D - Direct Plan (G),MODERATE
176,ICICI Prudential FMP - Series 82 - 1219 Days Plan D - Regular Plan (G),MODERATE
177,ICICI Prudential FMP - Series 82 - 1223 Days Plan E - Direct Plan (G),MODERATE
178,ICICI Prudential FMP - Series 82 - 1223 Days Plan E - Regular Plan (G),MODERATE
179,ICICI Prudential FMP - Series 82 - 1225 Days Plan B - Direct Plan (G),MODERATE
180,ICICI Prudential FMP - Series 82 - 1225 Days Plan B - Regular Plan (G),MODERATE
181,ICICI Prudential FMP - Series 82 - 1236 Days Plan A - Direct Plan (G),MODERATE
182,ICICI Prudential FMP - Series 82 - 1236 Days Plan A - Regular Plan (G),MODERATE
183,ICICI Prudential FMP - Series 82 - 1887 Days Plan F - Direct Plan (G),MODERATE
184,ICICI Prudential FMP - Series 82 - 1887 Days Plan F - Regular Plan (G),MODERATE
185,ICICI Prudential Focused Bluechip Equity Fund (G),MODERATELY HIGH
186,ICICI Prudential Focused Bluechip Equity Fund - Institutional Option - I ,MODERATELY HIGH
187,ICICI Prudential Focused Bluechip Equity Fund - Direct Plan (G),MODERATELY HIGH
188,ICICI Prudential Gilt - Treasury Plan - PF Option (G),MODERATE
189,ICICI Prudential Gilt - Treasury Plan - PF Option (QD),MODERATE
190,ICICI Prudential Gilt - Treasury Plan - PF Option - Direct Plan (G),MODERATE
191,ICICI Prudential Gilt - Investment Plan - PF Option - Direct Plan (G),MODERATE
192,ICICI Prudential Gilt - Investment Plan - PF Option (G),MODERATE
193,ICICI Prudential Global Stable Equity Fund - Regular Plan (G),LOW
194,ICICI Prudential Global Stable Equity Fund - Direct Plan (G),LOW
195,ICICI Prudential Gold iWIN ETF,N.A
196,ICICI Prudential Growth Fund - Series 1 - Direct Plan (G),MODERATELY HIGH
197,ICICI Prudential Growth Fund - Series 1 - Regular Plan (G),MODERATELY HIGH
198,ICICI Prudential Growth Fund - Series 2 - Direct Plan (G),MODERATELY HIGH
199,ICICI Prudential Growth Fund - Series 2 - Regular Plan (G),MODERATELY HIGH
